drug_name,ind_name,rating
Rimantadine,Influenza due to Influenza A virus,1
Amikacin,Enterobacteriaceae Infections,1
Amikacin,Diverticulitis of gastrointestinal tract,1
Amikacin,Infection due to Pseudomonas aeruginosa,1
Amikacin,Proteus septicemia,1
Amikacin,Escherichia coli septicemia,1
Amikacin,Neonatal pneumonia,1
Amikacin,Klebsiella sepsis,1
Amikacin,Nosocomial pneumonia,1
Amikacin,Bacterial infection due to Klebsiella pneumoniae,1
Amikacin,"Meningitis, Bacterial",1
Amikacin,Infection of bone,1
Amikacin,Staphylococcal Pneumonia,1
Amikacin,Pseudomonas aeruginosa meningitis,1
Amikacin,Neonatal meningitis,1
Amikacin,Arthropathy associated with infection,1
Amikacin,"Pneumonia, Bacterial",1
Amikacin,Rhinoscleroma,1
Amikacin,Cholangitis,1
Amikacin,Staphylococcal bacteraemia,1
Amikacin,Osteomyelitis,1
Amikacin,Pneumonia due to Pseudomonas,1
Amikacin,Intraabdominal Infections,1
Amikacin,Sepsis due to Pseudomonas,1
Amikacin,Meningitis due to Klebsiella mobilis,1
Amikacin,Infection of skin AND/OR subcutaneous tissue,1
Amikacin,Pneumonia due to Escherichia coli,1
Amikacin,Staphylococcal meningitis,1
Amikacin,Serratia Infections,1
Amikacin,Escherichia coli Infections,1
Amikacin,Sepsis due to Gram negative bacteria,1
Amikacin,Proteus pneumonia,1
Amikacin,Proteus meningitis,1
Amikacin,"Meningitis, Escherichia coli",1
Amikacin,Serratia sepsis,1
Amikacin,Sepsis of the newborn,1
Amikacin,Bacterial meningitis due to Gram-negative bacteria,1
Amikacin,Pneumonia due to Gram negative bacteria,1
Amikacin,Enterobacter pneumonia,1
Amikacin,Bacterial sepsis,1
Lenalidomide,Multiple Myeloma,1
Lenalidomide,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",1
Raloxifene,"Osteoporosis, Postmenopausal",1
Celecoxib,Acute postoperative pain,1
Celecoxib,Dysmenorrhea,1
Celecoxib,Rheumatoid Arthritis,1
Celecoxib,Ankylosing spondylitis,1
Celecoxib,Degenerative polyarthritis,1
Brimonidine,"Glaucoma, Open-Angle",1
Brimonidine,Ocular Hypertension,1
Dicloxacillin,Staphylococcal Pneumonia,1
Dicloxacillin,Infection of skin AND/OR subcutaneous tissue,1
Dicloxacillin,Staphylococcus aureus infection,1
Altretamine,Malignant neoplasm of ovary,1
Buspirone,Generalized Anxiety Disorder,1
Miglitol,"Diabetes Mellitus, Non-Insulin-Dependent",1
Fosinopril,Chronic heart failure,1
Fosinopril,Hypertensive disease,1
Cefotaxime,Sepsis due to Staphylococcus aureus,1
Cefotaxime,Ophthalmia Neonatorum,1
Cefotaxime,Neonatal meningitis,1
Cefotaxime,Streptococcal meningitis,1
Cefotaxime,Infection of bone,1
Cefotaxime,Intraabdominal Infections,1
Cefotaxime,Haemophilus influenzae type b infection,1
Cefotaxime,Haemophilus influenzae pneumonia,1
Cefotaxime,Pneumonia due to Pseudomonas,1
Cefotaxime,Proteus urinary tract infection,1
Cefotaxime,Klebsiella cystitis,1
Cefotaxime,Infection of skin AND/OR subcutaneous tissue,1
Cefotaxime,Serratia sepsis,1
Cefotaxime,Sepsis of the newborn,1
Cefotaxime,"Meningitis, Bacterial",1
Cefotaxime,Serratia Infections,1
Cefotaxime,Bacterial urinary infection,1
Cefotaxime,Escherichia coli septicemia,1
Cefotaxime,Haemophilus parainfluenzae pneumonia,1
Cefotaxime,Female genital tract infection,1
Cefotaxime,Peritonitis,1
Cefotaxime,Staphylococcal Pneumonia,1
Cefotaxime,Bacterial sepsis,1
Cefotaxime,Proteus pneumonia,1
Cefotaxime,Meningitis due to Klebsiella mobilis,1
Cefotaxime,URINARY TRACT INFECTION ENTEROCOCCUS,1
Cefotaxime,Escherichia coli urinary tract infection,1
Cefotaxime,Enterobacter pneumonia,1
Cefotaxime,"Arthritis, Bacterial",1
Cefotaxime,Lower respiratory tract infection,1
Cefotaxime,Bacterial infection due to Klebsiella pneumoniae,1
Cefotaxime,URINARY TRACT INFECTION CITROBACTER,1
Cefotaxime,"Meningitis, Escherichia coli",1
Cefotaxime,"Pneumonia, Bacterial",1
Cefotaxime,Neonatal pneumonia,1
Cefotaxime,Streptococcal sepsis,1
Cefotaxime,Meningococcal meningitis,1
Cefotaxime,Pneumonia due to Escherichia coli,1
Entacapone,Parkinson Disease,1
Zidovudine,HIV Infections,1
Darifenacin,Bladder muscle dysfunction - overactive,1
Darifenacin,Urge Incontinence,1
Darifenacin,Urgency of micturition,1
Darifenacin,Increased frequency of micturition,1
Oxycodone,Acute postoperative pain,1
Oxycodone,Severe pain,1
Flutamide,Prostatic Neoplasms,1
Tolmetin,Degenerative polyarthritis,1
Tolmetin,Rheumatoid Arthritis,1
Cimetidine,Duodenal Ulcer,1
Cimetidine,Upper gastrointestinal hemorrhage,1
Cimetidine,Dyspepsia,1
Cimetidine,Gastroesophageal reflux disease,1
Cimetidine,Zollinger-Ellison syndrome,1
Cimetidine,Heartburn,1
Cimetidine,"Mastocytosis, Systemic",1
Cimetidine,Multiple Endocrine Neoplasia,1
Cimetidine,Gastric ulcer,1
Haloperidol,Chronic schizophrenia,1
Haloperidol,Gilles de la Tourette syndrome,1
Haloperidol,Schizophrenia,1
Haloperidol,Psychotic Disorders,1
Ritonavir,HIV Infections,1
Ritonavir,"Hepatitis C, Chronic",1
Nitazoxanide,Giardiasis,1
Nitazoxanide,Cryptosporidiosis,1
Triflupromazine,Psychotic Disorders,1
Triflupromazine,Nausea,1
Triflupromazine,Vomiting,1
Triflupromazine,Nausea and vomiting,1
Dextrothyroxine,Hyperlipidemia,1
Vancomycin,Bacterial Endocarditis,1
Vancomycin,Neonatal pneumonia,1
Vancomycin,Bacterial sepsis,1
Vancomycin,Staphylococcal Pneumonia,1
Vancomycin,Sepsis of the newborn,1
Vancomycin,Staphylococcus aureus infection,1
Vancomycin,Streptococcal endocarditis,1
Vancomycin,Staphylococcal bacteraemia,1
Vancomycin,Staphylococcal Infections,1
Vancomycin,"Enterocolitis, Pseudomembranous",1
Vancomycin,Staphylococcal enterocolitis,1
Vancomycin,Infection of bone,1
Vancomycin,Arthropathy associated with infection,1
Vancomycin,Staphylococcal endocarditis,1
Vancomycin,Osteomyelitis due to Staphylococcus aureus,1
Dextromethorphan,Sneezing,1
Dextromethorphan,Mouth irritation,1
Dextromethorphan,Headache Disorders,1
Dextromethorphan,Influenza-like symptoms,1
Dextromethorphan,Pseudobulbar affect,1
Dextromethorphan,Allergic rhinitis (disorder),1
Dextromethorphan,"Rhinitis, Vasomotor",1
Dextromethorphan,Coughing,1
Dextromethorphan,Common Cold,1
Dextromethorphan,Fever,1
Dextromethorphan,Sore Throat,1
Dextromethorphan,Rhinorrhea,1
Dextromethorphan,Nasal congestion (finding),1
Dextromethorphan,Rhinitis,1
Cisplatin,Malignant neoplasm of ovary,1
Cisplatin,Testicular Germ Cell Tumor,1
Anisotropine Methylbromide,Gastric ulcer,1
Anisotropine Methylbromide,Peptic Ulcer,1
Albendazole,Echinococcus granulosus infection of liver,1
Albendazole,Echinococcus granulosus infection of lung,1
Albendazole,Neurocysticercosis,1
Albendazole,Echinococcus granulosus infection,1
Trandolapril,Chronic heart failure,1
Trandolapril,Hypertensive disease,1
Caspofungin,candidal peritonitis,1
Caspofungin,Candidiasis of the esophagus,1
Caspofungin,Candidemia,1
Carteolol,"Glaucoma, Open-Angle",1
Carteolol,Hypertensive disease,1
Carteolol,Ocular Hypertension,1
Metolazone,Hypertensive disease,1
Metolazone,Renal disease with edema NOS,1
Tolnaftate,Tinea cruris,1
Tolnaftate,Tinea manus,1
Tolnaftate,Tinea Versicolor,1
Tolnaftate,Tinea corporis (disorder),1
Tolnaftate,Tinea Capitis,1
Tolnaftate,Tinea Pedis,1
Tolnaftate,Tinea barbae,1
Oxaliplatin,Metastasis from malignant tumor of colon,1
Cinchocaine,Skin irritation,1
Cinchocaine,Pruritus,1
Lercanidipine,Hypertensive disease,1
Erlotinib,Non-Small Cell Lung Carcinoma,1
Erlotinib,Adenocarcinoma of pancreas,1
Cyclophosphamide,Lymphoma,1
Cyclophosphamide,Multiple Myeloma,1
Cyclophosphamide,Mycosis Fungoides,1
Cyclophosphamide,Neuroblastoma,1
Cyclophosphamide,Retinoblastoma,1
Cefdinir,Moraxella catarrhalis pneumonia,1
Cefdinir,Streptococcus pyogenes infection,1
Cefdinir,Haemophilus influenzae pneumonia,1
Cefdinir,Acute Moraxella catarrhalis bronchitis,1
Cefdinir,Streptococcal tonsillitis,1
Cefdinir,Staphylococcus aureus infection,1
Cefdinir,Haemophilus parainfluenzae pneumonia,1
Cefdinir,Infective otitis media,1
Guanidine,Lambert-Eaton Myasthenic Syndrome,1
Ciprofloxacin,Acute gonococcal urethritis,1
Ciprofloxacin,Infective otitis externa,1
Ciprofloxacin,Enterobacteriaceae Infections,1
Ciprofloxacin,Acute Moraxella catarrhalis bronchitis,1
Ciprofloxacin,Escherichia coli septicemia,1
Ciprofloxacin,Typhoid Fever,1
Ciprofloxacin,Bacterial conjunctivitis,1
Ciprofloxacin,Streptococcus pyogenes infection,1
Ciprofloxacin,Pneumonia due to Pseudomonas,1
Ciprofloxacin,Staphylococcus aureus infection,1
Ciprofloxacin,Infection of bone,1
Ciprofloxacin,Anthrax disease,1
Ciprofloxacin,"Pneumonia, Bacterial",1
Ciprofloxacin,Infective cystitis,1
Ciprofloxacin,Haemophilus parainfluenzae pneumonia,1
Ciprofloxacin,Malignant otitis externa due to Pseudomonas aeruginosa,1
Ciprofloxacin,Enterobacter pneumonia,1
Ciprofloxacin,Rhinoscleroma,1
Ciprofloxacin,Nosocomial pneumonia,1
Ciprofloxacin,Arthropathy associated with infection,1
Ciprofloxacin,URINARY TRACT INFECTION CITROBACTER,1
Ciprofloxacin,Acute gonococcal cervicitis,1
Ciprofloxacin,Chancroids,1
Ciprofloxacin,Haemophilus influenzae pneumonia,1
Ciprofloxacin,Escherichia coli urinary tract infection,1
Ciprofloxacin,URINARY TRACT INFECTION ENTEROCOCCUS,1
Ciprofloxacin,Cystitis,1
Ciprofloxacin,Traveler's diarrhea,1
Ciprofloxacin,Acute osteomyelitis,1
Ciprofloxacin,prostatitis,1
Ciprofloxacin,Proteus urinary tract infection,1
Ciprofloxacin,Lower respiratory tract infection,1
Ciprofloxacin,Bacterial urinary infection,1
Ciprofloxacin,Cystitis escherichia,1
Ciprofloxacin,Klebsiella cystitis,1
Ciprofloxacin,Escherichia coli Infections,1
Ciprofloxacin,Intraabdominal Infections,1
Ciprofloxacin,Abdominal Abscess,1
Ciprofloxacin,Chronic Bacterial Prostatitis,1
Ciprofloxacin,Shigella Infections,1
Ciprofloxacin,Infection of skin AND/OR subcutaneous tissue,1
Ciprofloxacin,Acute maxillary sinusitis,1
Ciprofloxacin,Pneumonia due to Escherichia coli,1
Ciprofloxacin,Otitis Externa,1
Ciprofloxacin,PYELONEPHRITIS E COLI,1
Ciprofloxacin,Proteus pneumonia,1
Ciprofloxacin,Bacterial infection due to Klebsiella pneumoniae,1
Ciprofloxacin,Enteric campylobacteriosis,1
Toremifene,Carcinoma breast stage IV,1
Nortriptyline,Depressive disorder,1
Vincristine,Rhabdomyosarcoma,1
Vincristine,Nephroblastoma,1
Vincristine,"Lymphoma, Follicular",1
Vincristine,Acute lymphocytic leukemia,1
Vincristine,Diffuse Large B-Cell Lymphoma,1
Vincristine,Burkitt Lymphoma,1
Vincristine,Hodgkin Disease,1
Vincristine,Neuroblastoma,1
Vincristine,"Lymphoma, Non-Hodgkin",1
Benazepril,Hypertensive disease,1
Amoxapine,Depressive disorder,1
Fluorouracil,Adenocarcinoma of pancreas,1
Fluorouracil,Malignant tumor of colon,1
Fluorouracil,Superficial basal cell carcinoma,1
Fluorouracil,Metastasis from malignant tumor of colon,1
Fluorouracil,Actinic keratosis,1
Fluorouracil,Carcinoma breast stage IV,1
Fluorouracil,Malignant neoplasm of stomach,1
Pyridostigmine,Myasthenia Gravis,1
Desoximetasone,Chronic small plaque psoriasis,1
Desoximetasone,Pruritus of genital organs,1
Desoximetasone,Contact Dermatitis,1
Desoximetasone,Granuloma Annulare,1
Desoximetasone,Exanthema,1
Desoximetasone,"Lymphoma, T-Cell, Cutaneous",1
Desoximetasone,Seborrheic dermatitis,1
Desoximetasone,Pruritus Ani,1
Desoximetasone,Scalp psoriasis,1
Desoximetasone,"Lupus Erythematosus, Discoid",1
Desoximetasone,"Dermatitis, Atopic",1
Desoximetasone,Lichen Simplex Chronicus,1
Azelaic Acid,Acne Vulgaris,1
Zafirlukast,Asthma,1
Propylthiouracil,Thyroid Crisis,1
Propylthiouracil,Hyperthyroidism,1
Acetohydroxamic Acid,Urinary tract infection,1
Pentostatin,Hairy Cell Leukemia,1
Methoxsalen,"Lymphoma, T-Cell, Cutaneous",1
Methoxsalen,Vitiligo,1
Piroxicam,Degenerative polyarthritis,1
Piroxicam,Rheumatoid Arthritis,1
Lamotrigine,Epilepsy,1
Lamotrigine,Lennox-Gastaut syndrome,1
Lamotrigine,Simple Partial Seizures,1
Lamotrigine,Epilepsy characterized by intractable complex partial seizures,1
Lamotrigine,Tonic - clonic seizures,1
Lamotrigine,Bipolar disorder in remission,1
Hydroxyzine,Allergic Conjunctivitis,1
Hydroxyzine,Rhinorrhea,1
Hydroxyzine,Urticaria,1
Hydroxyzine,Symptomatic dermographism,1
Hydroxyzine,Pruritus,1
Hydroxyzine,"Dermatitis, Atopic",1
Hydroxyzine,Allergic rhinitis (disorder),1
Zanamivir,Influenza,1
Bosentan,Pulmonary arterial hypertension,1
Bosentan,Pulmonary Hypertension,1
Bosentan,Scleroderma,1
Tigecycline,Complicated appendicitis,1
Tigecycline,Haemophilus influenzae pneumonia,1
Tigecycline,Abdominal Abscess,1
Tigecycline,Intraabdominal Infections,1
Tigecycline,Legionella pneumophila pneumonia,1
Doxapram,Respiratory Depression,1
Methotrexate,Psoriasis,1
Methotrexate,Malignant epithelial neoplasm of female breast,1
Methotrexate,Cancer of Head and Neck,1
Methotrexate,Gestational Trophoblastic Neoplasms,1
Methotrexate,Mycosis Fungoides,1
Methotrexate,"Lymphoma, Non-Hodgkin",1
Methotrexate,Meningeal Leukemia,1
Methotrexate,Acute lymphocytic leukemia,1
Methotrexate,Malignant neoplasm of lung,1
Methotrexate,Burkitt Lymphoma,1
Methotrexate,Rheumatoid Arthritis,1
Methotrexate,Osteosarcoma of bone,1
Carbamazepine,Epilepsy,1
Carbamazepine,Tonic - clonic seizures,1
Carbamazepine,Epilepsy characterized by intractable complex partial seizures,1
Carbamazepine,Simple Partial Seizures,1
Carbamazepine,Lennox-Gastaut syndrome,1
Carbamazepine,Glossopharyngeal Neuralgia,1
Carbamazepine,Mixed bipolar I disorder,1
Carbamazepine,Tonic-Clonic Epilepsy,1
Carbamazepine,"Bipolar affective disorder, current episode manic",1
Carbamazepine,Bipolar disorder in remission,1
Carbamazepine,"Epilepsies, Partial",1
Carbamazepine,mixed; epileptic,1
Carbamazepine,Trigeminal Neuralgia,1
Succimer,Accidental poisoning by lead and its compounds and fumes,1
Cephalexin,Infective otitis media,1
Cephalexin,prostatitis,1
Cephalexin,Klebsiella cystitis,1
Cephalexin,Infection of skin AND/OR subcutaneous tissue,1
Cephalexin,Arthropathy associated with infection,1
Cephalexin,Acute otitis media,1
Cephalexin,Streptococcus pyogenes infection,1
Cephalexin,Proteus urinary tract infection,1
Cephalexin,Osteomyelitis due to Staphylococcus aureus,1
Cephalexin,Streptococcal tonsillitis,1
Cephalexin,Infection of bone,1
Cephalexin,Escherichia coli urinary tract infection,1
Cephalexin,Staphylococcus aureus infection,1
Cinnarizine,Vertigo,1
Cinnarizine,Nausea,1
Cinnarizine,Motion Sickness,1
Fondaparinux sodium,Pulmonary Thromboembolisms,1
Fondaparinux sodium,Deep Vein Thrombosis,1
Vinblastine,Gestational Trophoblastic Neoplasms,1
Vinblastine,Hodgkin Disease,1
Vinblastine,Carcinoma breast stage IV,1
Vinblastine,Letterer-Siwe Disease,1
Vinblastine,Malignant neoplasm of testis,1
Vinblastine,"Lymphoma, Non-Hodgkin",1
Vinblastine,Mycosis Fungoides,1
Vinblastine,Kaposi Sarcoma,1
Vinblastine,Malignant epithelial neoplasm of female breast,1
Propranolol,Idiopathic hypertrophic subaortic stenosis,1
Propranolol,Atrial Fibrillation,1
Propranolol,Supraventricular tachycardia,1
Propranolol,Angina Pectoris,1
Propranolol,Hypertrophic Cardiomyopathy,1
Propranolol,Hypertensive disease,1
Propranolol,Hemangioma,1
Fenoprofen,Rheumatoid Arthritis,1
Fenoprofen,Degenerative polyarthritis,1
Fenoprofen,Pain,1
Clonidine,"Glaucoma, Open-Angle",1
Clonidine,Attention deficit hyperactivity disorder,1
Clonidine,Hypertensive disease,1
Clonidine,Severe pain,1
Sulfamethizole,Proteus urinary tract infection,1
Sulfamethizole,Klebsiella cystitis,1
Sulfamethizole,Escherichia coli urinary tract infection,1
Sulfamethizole,Bacterial urinary infection,1
Sulfamethizole,Infective otitis media,1
Sulfamethizole,Acute otitis media,1
Sulfamethizole,Shigella Infections,1
Valaciclovir,Herpes zoster disease,1
Valaciclovir,Recurrent genital herpes simplex,1
Valaciclovir,Herpes Labialis,1
Valaciclovir,Chickenpox,1
Valaciclovir,Genital Herpes,1
Carbenicillin,prostatitis,1
Carbenicillin,Escherichia coli urinary tract infection,1
Carbenicillin,Proteus urinary tract infection,1
Carbenicillin,Urinary tract infection,1
Carbenicillin,URINARY TRACT INFECTION ENTEROCOCCUS,1
Carbenicillin,Bacterial urinary infection,1
Mazindol,Obesity,1
Lactulose,Hepatic Encephalopathy,1
Lactulose,Hyperammonemia,1
Lactulose,Constipation,1
Voriconazole,Fusariosis,1
Voriconazole,Systemic candidiasis,1
Voriconazole,Candidiasis of the esophagus,1
Voriconazole,Invasive Pulmonary Aspergillosis,1
Voriconazole,Candidemia,1
L-Carnitine,Carnitine deficiency,1
Enalapril,Asymptomatic left ventricular systolic dysfunction,1
Enalapril,Hypertensive disease,1
Enalapril,Congestive heart failure,1
Nizatidine,Erosive esophagitis,1
Nizatidine,Peptic Esophagitis,1
Nizatidine,Dyspepsia,1
Nizatidine,Duodenal Ulcer,1
Nizatidine,Peptic Ulcer,1
Nizatidine,Heartburn,1
Nizatidine,Gastroesophageal reflux disease,1
Nizatidine,Gastric ulcer,1
Diclofenac,Degenerative polyarthritis,1
Diclofenac,Actinic keratosis,1
Diclofenac,"Osteoarthritis, Knee",1
Diclofenac,Rheumatoid Arthritis,1
Diclofenac,Dysmenorrhea,1
Diclofenac,Sprains and Strains,1
Diclofenac,Ankylosing spondylitis,1
Diclofenac,Pain,1
Fluticasone Propionate,Seborrheic dermatitis,1
Fluticasone Propionate,Pruritus of genital organs,1
Fluticasone Propionate,Exanthema,1
Fluticasone Propionate,Allergic rhinitis (disorder),1
Fluticasone Propionate,Allergic asthma,1
Fluticasone Propionate,Granuloma Annulare,1
Fluticasone Propionate,Chronic small plaque psoriasis,1
Fluticasone Propionate,"Lymphoma, T-Cell, Cutaneous",1
Fluticasone Propionate,Lichen Simplex Chronicus,1
Fluticasone Propionate,Intrinsic asthma,1
Fluticasone Propionate,Scalp psoriasis,1
Fluticasone Propionate,"Lupus Erythematosus, Discoid",1
Fluticasone Propionate,Pruritus Ani,1
Fluticasone Propionate,Contact Dermatitis,1
Fluticasone Propionate,Pulmonary Emphysema,1
Fluticasone Propionate,"Dermatitis, Atopic",1
Lisuride,Migraine Disorders,1
Lisuride,Amenorrhea,1
Lisuride,Acromegaly,1
Doxazosin,Hypertensive disease,1
Doxazosin,Prostatic Hypertrophy,1
Fluocinolone Acetonide,"Lymphoma, T-Cell, Cutaneous",1
Fluocinolone Acetonide,Exanthema,1
Fluocinolone Acetonide,Pruritus Ani,1
Fluocinolone Acetonide,"Lupus Erythematosus, Discoid",1
Fluocinolone Acetonide,Contact Dermatitis,1
Fluocinolone Acetonide,Lichen Simplex Chronicus,1
Fluocinolone Acetonide,Granuloma Annulare,1
Fluocinolone Acetonide,Chloasma,1
Fluocinolone Acetonide,"Dermatitis, Atopic",1
Fluocinolone Acetonide,Chronic small plaque psoriasis,1
Fluocinolone Acetonide,Scalp psoriasis,1
Fluocinolone Acetonide,Choroiditis,1
Fluocinolone Acetonide,Seborrheic dermatitis,1
Fluocinolone Acetonide,Pruritus of genital organs,1
Fluocinolone Acetonide,Scurfiness of scalp,1
Piperazine,Enterobiasis,1
Piperazine,Ascariasis,1
Ethosuximide,Absence Epilepsy,1
Amiloride,Edema,1
Amiloride,Hypertensive disease,1
Oxytetracycline,Bacterial keratitis,1
Oxytetracycline,Rocky Mountain Spotted Fever,1
Oxytetracycline,Lymphogranuloma Venereum,1
Oxytetracycline,TYPHUS,1
Oxytetracycline,Acute gonococcal urethritis,1
Oxytetracycline,Bacterial conjunctivitis,1
Oxytetracycline,Brucellosis,1
Oxytetracycline,Relapsing Fever,1
Oxytetracycline,Actinomycosis,1
Oxytetracycline,Chlamydia trachomatis infection of genital structure,1
Oxytetracycline,Syphilis,1
Oxytetracycline,Acute gonococcal cervicitis,1
Oxytetracycline,Infective otitis media,1
Oxytetracycline,Pharyngitis,1
Oxytetracycline,Psittacosis,1
Oxytetracycline,Trachoma,1
Oxytetracycline,Gingivostomatitis,1
Oxytetracycline,Bronchitis,1
Oxytetracycline,Granuloma Inguinale,1
Oxytetracycline,Sinusitis,1
Oxytetracycline,Acute gonococcal epididymo-orchitis,1
Oxytetracycline,Gonorrhea of rectum,1
Oxytetracycline,Gonorrhea of pharynx,1
Oxytetracycline,Acute gonococcal endometritis,1
Oxytetracycline,Infection of skin AND/OR subcutaneous tissue,1
Oxytetracycline,Rickettsialpox,1
Oxytetracycline,Pneumonia,1
Oxytetracycline,Urinary tract infection,1
Oxytetracycline,Q Fever,1
Oxytetracycline,Yaws,1
Ulobetasol,Granuloma Annulare,1
Ulobetasol,Seborrheic dermatitis,1
Ulobetasol,Lichen Simplex Chronicus,1
Ulobetasol,Chronic small plaque psoriasis,1
Ulobetasol,Scalp psoriasis,1
Ulobetasol,"Lupus Erythematosus, Discoid",1
Ulobetasol,"Lymphoma, T-Cell, Cutaneous",1
Ulobetasol,Pruritus of genital organs,1
Ulobetasol,Contact Dermatitis,1
Ulobetasol,Exanthema,1
Ulobetasol,Pruritus Ani,1
Labetalol,Hypertensive disease,1
Thiopental,Epilepsy,1
Thiopental,Pseudotumor Cerebri,1
Linezolid,Streptococcus pyogenes infection,1
Linezolid,Staphylococcus aureus infection,1
Linezolid,Staphylococcal Pneumonia,1
Ivermectin,Onchocerciasis,1
Ivermectin,Strongyloidiasis,1
Medroxyprogesterone acetate,Secondary malignant neoplasm of kidney,1
Medroxyprogesterone acetate,Metrorrhagia,1
Medroxyprogesterone acetate,Endometriosis,1
Medroxyprogesterone acetate,Endometrial Carcinoma,1
Medroxyprogesterone acetate,Hot flushes,1
Medroxyprogesterone acetate,Secondary physiologic amenorrhea,1
Medroxyprogesterone acetate,Atrophic Vaginitis,1
Cisapride,Gastroesophageal reflux disease,1
Sulindac,Ankylosing spondylitis,1
Sulindac,Rheumatoid Arthritis,1
Sulindac,Degenerative polyarthritis,1
Sulindac,"Arthritis, Gouty",1
Sulindac,Bursitis,1
Sulindac,Tendinitis,1
Nafcillin,Infection of skin AND/OR subcutaneous tissue,1
Nafcillin,Sepsis due to Staphylococcus aureus,1
Nafcillin,Osteomyelitis due to Staphylococcus aureus,1
Nafcillin,Staphylococcal meningitis,1
Nafcillin,Staphylococcus aureus infection,1
Nafcillin,Staphylococcal Pneumonia,1
Nafcillin,Staphylococcal Infections,1
Nafcillin,Infection of bone,1
Nafcillin,Staphylococcal endocarditis,1
Chloroquine,Quartan malaria,1
Chloroquine,Rheumatoid Arthritis,1
Chloroquine,"Malaria, Falciparum",1
Chloroquine,"Lupus Erythematosus, Systemic",1
Chloroquine,"Lupus Erythematosus, Discoid",1
Chloroquine,Ovale malaria,1
Chloroquine,"Malaria, Vivax",1
Ethionamide,Acute tuberculosis,1
Ethionamide,"Tuberculosis, Pulmonary",1
Butorphanol,Pain,1
Butorphanol,Labor Pain,1
Bisoprolol,Hypertensive disease,1
Rifabutin,Pulmonary Mycobacterium avium complex infection,1
Paramethadione,Epilepsy,1
Paramethadione,Absence Epilepsy,1
Demeclocycline,Trachoma,1
Demeclocycline,Gonorrhea,1
Demeclocycline,Infection of skin AND/OR subcutaneous tissue,1
Demeclocycline,Chancroids,1
Demeclocycline,Acute gonococcal urethritis,1
Demeclocycline,Sinusitis,1
Demeclocycline,Urinary tract infection,1
Demeclocycline,Infective otitis media,1
Demeclocycline,Acute gonococcal endometritis,1
Demeclocycline,Actinomycosis,1
Demeclocycline,Q Fever,1
Demeclocycline,Gonorrhea of pharynx,1
Demeclocycline,Yaws,1
Demeclocycline,Lymphogranuloma Venereum,1
Demeclocycline,Pharyngitis,1
Demeclocycline,Rocky Mountain Spotted Fever,1
Demeclocycline,Rickettsialpox,1
Demeclocycline,Brucellosis,1
Demeclocycline,Psittacosis,1
Demeclocycline,TYPHUS,1
Demeclocycline,Gingivostomatitis,1
Demeclocycline,Gonorrhea of rectum,1
Demeclocycline,Syphilis,1
Demeclocycline,Acute gonococcal cervicitis,1
Demeclocycline,Klebsiella cystitis,1
Demeclocycline,Pneumonia,1
Demeclocycline,Staphylococcus aureus infection,1
Demeclocycline,Bronchitis,1
Demeclocycline,pharyngitis due to Haemophilus influenzae,1
Demeclocycline,Relapsing Fever,1
Demeclocycline,Granuloma Inguinale,1
Imatinib,"Leukemia, Myeloid, Accelerated Phase",1
Imatinib,"Mastocytosis, Systemic",1
Imatinib,"Leukemia, Myeloid, Chronic-Phase",1
Imatinib,Blast Phase,1
Imatinib,Philadelphia chromosome positive chronic myelogenous leukemia,1
Imatinib,Chronic eosinophilic leukemia,1
Imatinib,Philadelphia chromosome-positive acute lymphoblastic leukemia,1
Imatinib,Dermatofibrosarcoma Protuberans,1
Imatinib,Idiopathic Hypereosinophilic Syndrome,1
Imatinib,Gastrointestinal Stromal Tumors,1
Triamcinolone,Scalp psoriasis,1
Triamcinolone,Tendinitis,1
Triamcinolone,"Lymphoma, Non-Hodgkin",1
Triamcinolone,Inflammatory Bowel Diseases,1
Triamcinolone,Giant Cell Arteritis,1
Triamcinolone,Granuloma Annulare,1
Triamcinolone,Uveitis,1
Triamcinolone,Aphthous Stomatitis,1
Triamcinolone,Keloid,1
Triamcinolone,Cooley's anemia,1
Triamcinolone,Gingival Diseases,1
Triamcinolone,Status Asthmaticus,1
Triamcinolone,Simple Pulmonary Eosinophilia,1
Triamcinolone,Exanthema,1
Triamcinolone,Erythema Multiforme,1
Triamcinolone,Contact Dermatitis,1
Triamcinolone,"Arthritis, Gouty",1
Triamcinolone,Autoimmune Diseases,1
Triamcinolone,Post traumatic osteoarthritis,1
Triamcinolone,Lichen Simplex Chronicus,1
Triamcinolone,Laryngeal Edema,1
Triamcinolone,Autoimmune hemolytic anemia,1
Triamcinolone,Bursitis,1
Triamcinolone,Exfoliative dermatitis,1
Triamcinolone,Chronic small plaque psoriasis,1
Triamcinolone,Crohn Disease,1
Triamcinolone,Asthma,1
Triamcinolone,Acute lymphocytic leukemia,1
Triamcinolone,Adrenogenital disorder,1
Triamcinolone,Disorder of eye,1
Triamcinolone,Thyroiditis,1
Triamcinolone,Pemphigus,1
Triamcinolone,Aspiration pneumonitis,1
Triamcinolone,Sarcoidosis,1
Triamcinolone,Pruritus Ani,1
Triamcinolone,Multiple Sclerosis,1
Triamcinolone,Alopecia Areata,1
Triamcinolone,"Arthritis, Psoriatic",1
Triamcinolone,Cutaneous Candidiasis,1
Triamcinolone,Epicondylitis,1
Triamcinolone,Trichinellosis,1
